kendall_b,method,n,pairwise_accuracy,spearman
0.5324358131483562,combined_proxy,160,0.9166666666666666,0.636246373848938
0.7483314773547882,combined_reranker_round11,15,1.0,0.8707024426762052
0.1036397971407781,leakage_adjusted_reconstruction,160,0.5208333333333334,0.10395649578148917
0.040291148201269014,local_llm_judge,15,0.5,0.040291148201269014
0.5281897669727293,nli_lexical_proxy,160,0.8125,0.5298037896344153
0.6085039603600554,reverse_reconstruction,160,0.7916666666666666,0.6270054755845399
0.4232405350519618,rule_evidence_verifier,160,0.7916666666666666,0.4245338577507964
0.4394339563047594,structured_extraction,160,0.6458333333333334,0.44077676225848944
0.4544763252405694,surface_keyword,160,0.6875,0.45586509710629913
0.49555952526781427,surface_leak_score,160,0.8541666666666666,0.5511128373390112
0.20926317626435906,target_masked_reconstruction,160,0.5208333333333334,0.20990263490189173
0.6154660774072969,target_masked_score,160,0.7916666666666666,0.6291794214060435
